DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3606,homo,R,Male,2.8,0,Light Flicker,0,2.6999999999999997,90,46271,22841,1484510,464694,10610,179050,50042,540718,2731227,628373
3606,homo,R,Male,2.8,0,Light Flicker,0,3.9,90,37127,35584,962406,252943,8907,262764,38755,362982,1845572,313081
3606,homo,R,Male,2.8,0,Light Flicker,0,4.05,90,101300,74414,2222770,498888,41988,551197,92617,1392061,3998583,594574
3606,homo,R,Male,2.8,0,Light Flicker,0,4.35,90,39741,31928,1109948,346741,10435,139784,50557,429718,2729373,434105
3606,homo,R,Male,2.8,1,Light Flicker,0,4.6499999999999995,90,31937,31727,813250,182919,11056,261238,38199,426131,1656515,232863
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,11265,10210,533713,73150,2506,91396,14364,203581,1098970,90564
3606,homo,R,Male,2.8,0,Light Flicker,0,5.25,90,16665,14342,522810,98868,4164,170798,17778,206268,1050934,127999
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,41205,27378,796331,166502,10174,314108,31443,317145,1509689,209641
3606,homo,R,Male,2.8,0,Light Flicker,0,4.95,90,69612,51636,1401854,403519,18130,556537,63048,516205,3393545,516872
3606,homo,R,Male,2.8,0,Light Flicker,0,4.35,90,75938,49218,1558735,394039,19764,518118,52743,639323,3278597,432479
3606,homo,R,Male,2.8,0,Light Flicker,0,4.35,90,75621,67405,1963452,573300,19126,561890,79742,763281,4259419,671366
3606,homo,R,Male,2.8,0,Light Flicker,0,5.1,90,26350,14428,541810,116095,7104,182995,16596,221131,993256,144561
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,46061,47613,1115738,236560,12745,412629,57973,452152,2373672,318808
3606,homo,R,Male,2.8,1,Light Flicker,0,4.8,90,29736,24894,687608,164571,7268,240733,28722,270193,1447505,205423
